Countries and areas,Children 0-14,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19,Children 0-14,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19,Children 0-9,Adolescents 10–19,Adolescent girls 10–19,Adolescent boys 10–19
Afghanistan,0.02,0.02,0.02,0.02,0.41,0.08,0.08,0.08,<500,<500,<200,<200
Albania,-,-,-,-,-,-,-,-,-,-,-,-
Algeria,0.06,0.01,<0.01,0.01,0.99,0.01,0.03,0.03,"1,200",<500,<200,<200
Andorra,-,-,-,-,-,-,-,-,-,-,-,-
Angola,0.64,0.59,1.03,0.15,23.15,10.7,10.56,10.86,"25,000","23,000","14,000","9,100"
Anguilla,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,-,-,-,-,-,-,-,-,-,-,-,-
Argentina,0.02,0.21,0.17,0.25,0.19,0.2,0.18,0.23,-,-,-,-
Armenia,0.03,0.06,0.09,0.05,0.31,<0.01,<0.01,<0.01,<100,<100,<100,<100
Australia,-,-,-,-,-,-,-,-,-,-,-,-
Austria,-,-,-,-,-,-,-,-,-,-,-,-
Azerbaijan,0.02,0.01,0.02,0.01,0.41,0.21,0.15,0.13,<200,<200,<100,<100
Bahamas,0.55,0.24,0.24,0.23,10.2,1.97,4.04,3.86,<100,<100,<100,<100
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-
Bangladesh,<0.01,<0.01,<0.01,<0.01,0.06,<0.01,<0.01,<0.01,<500,<200,<200,<100
Barbados,-,-,-,-,-,-,-,-,-,-,-,-
Belarus,0.12,0.06,0.08,0.05,2.91,<0.01,<0.01,<0.01,<500,<200,<100,<100
Belgium,-,-,-,-,-,-,-,-,-,-,-,-
Belize,0.27,0.4,0.51,0.3,5.81,1.27,<0.01,<0.01,<100,<200,<100,<100
Benin,0.22,0.14,0.25,0.04,7.69,5.72,5.44,5.92,"3,900","5,300","2,800","2,400"
Bhutan,-,-,-,-,-,-,-,-,-,-,-,-
Bolivia (Plurinational State of),0.06,0.04,0.05,0.03,1.29,0.56,0.62,0.51,<500,590,<500,<500
Bosnia and Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-
Botswana,0.9,3.37,5.78,1.03,21.93,33.07,33.78,32.37,"3,000","10,000","5,700","4,400"
Brazil,-,-,-,-,-,-,-,-,-,-,-,-
British Virgin Islands,-,-,-,-,-,-,-,-,-,-,-,-
Brunei Darussalam,-,-,-,-,-,-,-,-,-,-,-,-
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-
Burkina Faso,0.13,0.11,0.17,0.05,3.73,4.2,4.04,4.35,"3,400","7,000","3,700","3,300"
Burundi,0.42,0.09,0.15,0.02,9.48,6.03,5.66,6.32,"4,500","7,500","3,900","3,600"
Cabo Verde,0.13,0.07,0.11,0.04,1.82,0.92,<0.01,<0.01,<100,<100,<100,<100
Cambodia,0.05,0.18,0.12,0.23,0.87,0.77,0.72,0.82,780,"3,900","1,900","2,100"
Cameroon,1.04,0.64,1.13,0.16,30.79,14.45,14.15,14.75,"20,000","31,000","18,000","13,000"
Canada,-,-,-,-,-,-,-,-,-,-,-,-
Central African Republic,0.68,1.09,1.48,0.71,20.08,17.22,16.22,18.36,"3,500","7,500","4,100","3,400"
Chad,0.32,0.27,0.44,0.11,10.07,5.7,5.58,5.81,"6,200","9,000","5,000","3,900"
Chile,0.05,0.27,0.06,0.46,-,-,-,-,<200,"1,100",<500,890
China,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,0.08,0.21,0.05,0.36,1.87,0.56,0.51,0.61,"1,600","4,100","1,200","2,900"
Comoros,-,-,-,-,-,-,-,-,-,-,-,-
Congo,2.93,3.11,5.84,0.45,76.46,18.86,21.25,16.5,"9,100","9,400","6,800","2,600"
Cook Islands,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,0.05,0.22,0.1,0.34,1.15,0.42,0.29,0.55,<100,<500,<100,<500
Côte d'Ivoire,0.19,0.16,0.3,0.02,5.68,9.49,8.7,10.25,"9,300","23,000","12,000","11,000"
Croatia,-,-,-,-,-,-,-,-,-,-,-,-
Cuba,0.03,0.49,0.2,0.77,0.54,0.39,0.16,0.46,<100,940,<500,730
Cyprus,-,-,-,-,-,-,-,-,-,-,-,-
Czechia,-,-,-,-,-,-,-,-,-,-,-,-
Democratic People's Republic of Korea,-,-,-,-,-,-,-,-,-,-,-,-
Democratic Republic of the Congo,0.32,0.13,0.19,0.06,8.05,4.52,4.36,4.68,"42,000","43,000","23,000","21,000"
Denmark,-,-,-,-,-,-,-,-,-,-,-,-
Djibouti,0.17,0.08,0.11,0.06,5.48,4.23,4.28,4.19,<200,<500,<200,<100
Dominica,-,-,-,-,-,-,-,-,-,-,-,-
Dominican Republic,0.17,0.11,0.14,0.08,4.76,1.5,1.53,1.57,"1,300","1,600",820,740
Ecuador,0.08,0.08,0.09,0.07,1.99,0.29,0.26,0.25,790,930,<500,<500
Egypt,-,-,-,-,0.45,0.05,0.06,0.04,930,710,<500,<500
El Salvador,0.09,0.05,0.07,0.03,2.25,0.42,0.51,0.33,<500,<500,<500,<200
Equatorial Guinea,3.67,2.84,4.46,1.28,89.97,20.61,20.19,21.01,"2,800","2,100","1,300",790
Eritrea,0.06,0.05,0.08,0.02,1.14,1.07,1.1,1.26,<500,620,<500,<500
Estonia,-,-,-,-,-,-,-,-,-,-,-,-
Eswatini,2.11,7.83,15.15,0.85,35.84,50.47,58.98,42.01,"3,600","11,000","6,500","4,000"
Ethiopia,0.21,0.12,0.22,0.02,4.57,3.65,3.58,3.71,"23,000","45,000","24,000","21,000"
Fiji,0.12,0.06,0.1,0.02,1.45,<0.01,<0.01,<0.01,<100,<100,<100,<100
Finland,-,-,-,-,-,-,-,-,-,-,-,-
France,<0.01,0.05,0.06,0.05,0.07,0.01,0.02,<0.01,<500,680,<500,<500
Gabon,1.13,0.99,1.86,0.14,34.42,17.06,17.64,16.49,"1,600","2,200","1,300",880
Gambia,0.42,0.22,0.39,0.04,11.72,5.24,5.26,5.55,910,950,520,<500
Georgia,0.02,0.03,0.02,0.04,0.37,<0.01,<0.01,<0.01,<100,<100,<100,<100
Germany,<0.01,0.04,0.02,0.06,0.03,<0.01,<0.01,<0.01,<100,<500,<100,<500
Ghana,0.71,0.58,1.06,0.09,22.09,10.77,10.68,10.82,"18,000","23,000","14,000","9,000"
Greece,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,-,-,-,-,-,-,-,-,-,-,-,-
Guinea,0.58,0.89,1.46,0.32,16.26,8.29,8.33,8.19,"7,600","10,000","6,300","3,800"
Guinea-Bissau,2.03,0.75,1.15,0.35,47.23,20.83,20.45,21.64,"2,500","2,500","1,400","1,100"
Guyana,0.53,0.2,0.3,0.1,13.3,3.03,2.48,2.38,<500,<500,<200,<200
Haiti,0.46,0.47,0.81,0.14,6.93,2.09,2.12,2.06,"3,700","6,100","3,700","2,400"
Holy See,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,0.08,0.01,0.01,0.02,2.41,1.21,1.34,1.19,<500,"1,100",530,550
Hungary,-,-,-,-,-,-,-,-,-,-,-,-
Iceland,-,-,-,-,-,-,-,-,-,-,-,-
India,-,-,-,-,-,-,-,-,-,-,-,-
Indonesia,0.14,0.15,0.12,0.17,3.34,0.51,0.5,0.53,"15,000","13,000","5,800","7,700"
Iran (Islamic Republic of),0.02,0.01,0.01,0.01,0.49,0.26,0.25,0.26,900,"1,000",520,520
Iraq,-,-,-,-,-,-,-,-,-,-,-,-
Ireland,-,-,-,-,-,-,-,-,-,-,-,-
Israel,-,-,-,-,-,-,-,-,-,-,-,-
Italy,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,0.19,0.96,0.99,0.93,5.75,1.13,0.93,1.33,<500,"1,100",530,530
Japan,-,-,-,-,-,-,-,-,-,-,-,-
Jordan,-,-,-,-,-,-,-,-,-,-,-,-
Kazakhstan,0.02,0.03,0.03,0.03,0.33,0.03,0.07,0.06,<500,<500,<500,<500
Kenya,0.74,1.01,1.78,0.24,16.3,13.33,12.84,13.85,"48,000","1,00,000","56,000","44,000"
Kiribati,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-
Kyrgyzstan,0.03,0.04,0.05,0.03,0.8,0.17,0.17,0.17,<500,<500,<500,<500
Lao People's Democratic Republic,0.04,0.11,0.11,0.11,1.17,0.27,0.28,0.27,<500,<500,<500,<500
Latvia,0.09,0.09,0.12,0.07,1.63,<0.01,<0.01,<0.01,<100,<100,<100,<100
Lebanon,-,-,-,-,-,-,-,-,-,-,-,-
Lesotho,3.57,4.69,8.24,1.25,91.46,48.64,48.73,48.56,"5,000","13,000","7,600","5,600"
Liberia,-,-,-,-,8.49,7.24,6.85,7.61,"1,500","2,800","1,600","1,200"
Libya,0.06,0.05,0.04,0.07,1.18,0.26,0.18,0.33,<500,<200,<100,<200
Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-
Madagascar,0.25,0.13,0.22,0.05,5.48,0.44,0.5,0.37,"3,200","1,200",900,<500
Malawi,1.03,1.14,2.05,0.17,18.99,21.62,21.97,21.2,"30,000","68,000","38,000","30,000"
Malaysia,<0.01,0.07,0.03,0.1,0.04,0.04,0.04,0.04,<200,650,<500,<500
Maldives,-,-,-,-,-,-,-,-,-,-,-,-
