Countries and areas,"Low birthweight
 (%)
 2015","Unweighed at birth
 (%)
 2015–2021","Stunted (%) 
 (2020)","Wasted
 (%)
 (2015-2022) - severe","Wasted
 (%)
 (2015-2022) - moderate and severe","Overweight (%) 
 (2020)","Vitamin A supplementation, 
 full coveragea 
 (6-59 months of age) (%) 
 2021",Thinness (%),Overweight (%),Underweight 18+ years (%) (2016),Anaemia 15–49 years (%) (2019),"Percentage of households consuming iodized salt
 2015–2021"
Afghanistan,–,86,35,2,5,4,58,17,9,16,43,57
Albania,5,3,10,1,2,15,–,1,25,2,25,65
Algeria,7,10,9,1,3,13,–,6,31,4,33,89
Andorra,7,-,–,–,–,–,–,1,36,2,12,–
Angola,15,46,38,1,5,3,–,8,11,11,45,82
Anguilla,–,–,–,–,–,–,–,–,–,–,–,–
Antigua and Barbuda,9,–,–,–,–,–,–,3,27,4,17,–
Argentina,7,6,8,<1,2,13,–,1,37,1,12,–
Armenia,9,1,9,2,4,11,–,2,19,4,17,99
Australia,7,1,2,<1,<1,19,–,1,34,2,9,–
Austria,7,<1,–,–,–,–,–,2,26,3,13,–
Azerbaijan,7,1,16,1,3,9,–,3,19,3,35,93
Bahamas,13,-,–,–,–,–,–,3,36,3,15,–
Bahrain,12,-,5,–,–,6,–,6,35,4,35,–
Bangladesh,28,49,30,2,10,2,96,18,9,23,37,76
Barbados,–,-,7,2,7,11,–,4,28,3,17,37
Belarus,5,6,4,1,2,7,–,2,23,2,21,–
Belgium,7,1,2,<1,<1,5,–,1,24,2,14,–
Belize,9,2,13,1,2,8,–,3,29,3,21,85
Benin,17,40,31,1,5,2,80,7,11,9,55,85
Bhutan,12,28,22,2,6,5,–,16,10,11,39,98
Bolivia (Plurinational State of),7,8,13,1,2,9,–,1,28,2,24,86
Bosnia and Herzegovina,3,2,9,2,2,13,–,2,21,3,24,–
Botswana,16,54,23,3,7,11,64,6,18,7,33,83
Brazil,8,2,6,<1,2,7,–,3,28,4,16,98
British Virgin Islands,–,–,–,–,–,–,–,–,–,–,–,–
Brunei Darussalam,11,–,13,<1,3,9,–,6,27,6,17,–
Bulgaria,10,–,6,3,6,6,–,2,29,2,24,92
Burkina Faso,13,36,26,1,10,3,99,8,8,13,53,89
Burundi,15,20,58,1,6,3,81,7,10,11,39,89
Cabo Verde,–,–,10,–,–,–,–,7,12,7,24,92
Cambodia,12,9,30,2,10,2,61,11,11,14,47,68
Cameroon,12,36,27,2,4,10,85,6,13,6,41,91
Canada,6,3,–,–,–,12,–,1,32,2,10,–
Central African Republic,15,37,40,1,5,3,–,8,11,12,47,76
Chad,–,88,35,2,10,3,0,8,9,13,45,65
Chile,6,6,2,–,<1,10,–,1,35,1,9,–
China,5,<1,5,1,2,8,–,3,29,6,16,97
Colombia,10,18,11,<1,2,6,–,2,24,3,21,–
Comoros,24,32,23,4,11,10,–,7,12,9,34,82
Congo,12,10,18,3,8,5,–,7,11,11,49,91
Cook Islands,3,–,–,–,–,–,–,<1,63,<1,27,–
Costa Rica,7,2,9,<1,2,8,–,2,32,2,14,–
Côte d'Ivoire,15,27,18,1,6,3,85,6,13,8,51,80
Croatia,5,<1,–,–,–,–,–,1,28,2,21,–
Cuba,5,2,7,1,2,10,–,3,30,5,19,90
Cyprus,–,–,–,–,–,–,–,1,33,2,14,–
Czechia,8,<1,3,1,5,7,–,2,28,2,21,–
Democratic People's Republic of Korea,–,<1,18,1,3,2,0,5,23,8,34,38
Democratic Republic of the Congo,11,27,41,2,6,4,56,9,10,13,42,85
Denmark,5,<1,–,–,–,–,–,1,25,3,12,–
Djibouti,–,15,34,3,10,7,–,6,17,7,32,4
Dominica,–,–,–,–,–,–,–,3,33,3,21,–
Dominican Republic,11,4,6,1,2,8,–,3,33,3,26,32
Ecuador,11,–,23,1,4,10,–,1,28,1,17,–
Egypt,–,39,22,5,9,18,–,3,37,1,28,93
El Salvador,10,7,11,<1,2,7,–,2,30,2,11,–
Equatorial Guinea,–,30,20,2,3,9,8,8,11,10,45,57
Eritrea,–,65,49,4,15,2,78,8,11,17,37,86
Estonia,4,6,1,<1,2,6,–,2,21,2,22,–
Eswatini,10,9,23,<1,2,10,33,4,17,5,31,90
Ethiopia,–,87,35,1,7,3,73,10,9,15,24,86
Fiji,–,1,7,1,5,5,–,4,34,2,32,–
Finland,4,<1,–,–,–,–,–,1,27,2,11,–
France,7,<1,–,–,–,–,–,1,30,3,11,–
Gabon,14,9,14,1,3,7,0,6,16,7,52,89
Gambia,17,29,16,1,5,2,27,7,12,10,50,67
Georgia,6,<1,6,<1,1,8,–,3,20,4,28,98
Germany,7,<1,2,<1,<1,4,–,1,26,2,12,–
Ghana,14,36,14,1,7,3,35,6,11,7,35,69
Greece,9,–,2,<1,1,14,–,1,37,1,15,–
Grenada,–,–,–,–,–,–,–,4,26,4,19,–
Guatemala,11,6,43,<1,1,5,–,1,29,2,7,88
Guinea,–,52,29,4,9,6,96,7,10,10,48,53
Guinea-Bissau,21,49,28,2,8,3,0,7,11,9,48,33
Guyana,16,12,9,2,6,7,–,5,25,5,32,43
Haiti,–,68,20,1,4,4,20,4,28,5,48,8
Holy See,–,–,–,–,–,–,–,–,–,–,–,–
Honduras,11,12,20,<1,2,6,–,2,27,3,18,88
Hungary,9,<1,–,–,–,–,–,2,28,3,20,–
Iceland,4,1,–,–,–,–,–,1,28,2,10,–
India,–,9,31,8,19,2,–,27,7,24,53,94
Indonesia,10,6,32,4,10,11,–,10,15,13,31,92
Iran (Islamic Republic of),–,–,6,1,4,9,–,9,26,4,24,94
Iraq,–,29,12,1,3,9,–,5,32,2,29,68
Ireland,6,2,–,–,–,–,–,<1,31,1,12,–
Israel,8,–,–,–,–,–,–,1,35,2,13,–
Italy,7,2,–,–,–,–,–,1,37,2,14,–
Jamaica,15,4,8,1,3,7,–,2,30,3,20,–
Japan,9,<1,5,<1,2,2,–,2,14,10,19,–
Jordan,14,3,7,<1,1,7,–,4,31,1,38,88
Kazakhstan,5,1,7,1,3,9,–,2,20,4,29,94
Kenya,11,35,19,2,7,4,86,8,11,10,29,95
Kiribati,–,25,15,1,4,2,–,<1,55,1,33,77
Kuwait,10,–,6,1,3,7,–,4,42,1,24,–
Kyrgyzstan,6,1,11,1,2,6,–,3,16,4,36,99
Lao People's Democratic Republic,17,33,30,3,9,3,–,9,14,11,40,94
Latvia,5,<1,–,–,–,–,–,2,22,2,22,–
Lebanon,9,–,10,<1,1,20,–,5,33,3,28,95
Lesotho,15,8,32,1,2,7,–,5,15,5,28,85
Liberia,–,71,28,1,3,5,–,7,10,8,43,87
Libya,–,–,44,5,10,25,–,6,33,2,30,70
Liechtenstein,–,–,–,–,–,–,–,–,–,–,–,–
Lithuania,5,15,–,–,–,–,–,3,21,2,20,–
Luxembourg,7,2,–,–,–,–,–,1,26,2,10,–
Madagascar,17,63,40,1,7,1,24,7,11,15,38,68
Malawi,14,6,37,<1,2,5,77,6,11,9,31,80
Malaysia,11,–,21,4,10,6,–,7,26,7,32,28
Maldives,12,2,14,2,9,5,–,14,17,9,52,97
Mali,–,65,26,2,9,2,85,8,11,10,59,76
Malta,6,2,–,–,–,–,–,1,37,1,14,–
Marshall Islands,–,14,32,1,4,4,–,<1,59,1,31,–
Mauritania,–,84,24,2,10,3,–,8,13,8,43,25
Mauritius,17,–,9,–,–,8,–,7,15,7,24,–
Mexico,8,2,12,<1,2,6,–,2,35,2,15,–
Micronesia (Federated States of),–,–,–,–,–,–,–,<1,51,1,25,–
Monaco,5,–,–,–,–,–,–,–,–,–,12,–
Mongolia,5,1,7,<1,1,10,–,2,18,3,15,75
Montenegro,5,2,8,1,2,10,–,2,25,2,17,–
Montserrat,–,–,–,–,–,–,–,–,–,–,–,–
Morocco,17,3,13,1,3,11,–,6,27,3,30,43
Mozambique,14,49,38,1,4,6,83,4,13,10,48,42
Myanmar,12,55,25,1,7,2,–,13,12,14,42,85
Namibia,16,15,18,3,7,5,59,8,15,9,25,74
Nauru,–,4,15,<1,1,4,–,<1,65,<1,30,–
Nepal,22,22,30,3,12,2,90,16,8,17,36,94
Netherlands (kingdom of the),6,5,2,<1,1,5,–,1,25,2,13,–
